"id";"book_name";"eng_book_name";"tran_book_name"
1;"בְּרֵאשִׁית";"Genesis";""
2;"שְׁמוֹת";"Exodus";""
3;"יִּקְרָא";"Leviticus";""
4;"בְּמִדְבַּר";"Numbers";""
5;"דְּבָרִים";"Deuteronomy";""
6;"יְהוֹשֻׁעַ";"Joshua";""
7;"שׁוֹפְטִים";"Judges";""
8;"שְׁמוּאֵל א";"1 Samuel";""
9;"שְׁמוּאֵל ב";"2 Samuel";""
10;"מְלָכִים א";"1 Kings";""
11;"מְלָכִים ב";"2 Kings";""
12;"יְשַׁעְיָהוּ";"Isaiah";""
13;"יִרְמְיָהוּ";"Jeremiah";""
14;"יְחֶזְקֵאל";"Ezekiel";""
15;"הוֹשֵׁעַ";"Hosea";""
16;"יוֹאֵל";"Joel";""
17;"עָמוֹס";"Amos";""
18;"עֹבַדְיָה";"Obadiah";""
19;"יוֹנָה";"Jonah";""
20;"מִיכָה";"Micah";""
21;"נַחוּם";"Nahum";""
22;"חֲבַקּוּק";"Habakkuk";""
23;"צְפַנְיָה";"Zephaniah";""
24;"חַגַּי";"Haggai";""
25;"זְכַרְיָה";"Zechariah";""
26;"מַלְאָכִי";"Malachi";""
27;"תְּהִלִּים";"Psalms";""
28;"מִשְׁלֵי";"Proverbs";""
29;"אִיּוֹב";"Job";""
30;"שִׁיר הַשִּׁירִים";"Song of Songs";""
31;"רוּת";"Ruth";""
32;"אֵיכָה";"Lamentations";""
33;"קֹהֶלֶת";"Ecclesiastes";""
34;"אֶסְתֵּר";"Esther";""
35;"דָּנִיֵּאל";"Daniel";""
36;"עֶזְרָא";"Ezra";""
37;"נְחֶמְיָה";"Nehemiah";""
38;"דִּבְרֵי הַיָּמִים א";"1 Chronicles";""
39;"דִּבְרֵי הַיָּמִים ב";"2 Chronicles";""
40;"מתתיהו";"Matthew";""
41;"מרקוס";"Mark";""
42;"לוקס";"Luke";""
43;"יוחנן";"John";""
44;"מפעלות השליחים";"Acts";""
45;"אל־הרומיים";"Romans";""
46;"אל־הקורנתיים א";"1 Corinthians";""
47;"אל־הקורנתיים ב";"2 Corinthians";""
48;"אל־הגליים";"Galatians";""
49;"אל־האפסיים";"Ephesians";""
50;"אל־הפילפיים";"Philippians";""
51;"אל־הקולסים";"Colossians";""
52;"אל־התסלוניקים א";"1 Thessalonians";""
53;"אל־התסלוניקים ב";"2 Thessalonians";""
54;"אל־טימותיוס א";"1 Timothy";""
55;"אל־טימותיוס ב";"2 Timothy";""
56;"אל־טיטוס";"Titus";""
57;"אל־פילימון";"Philemon";""
58;"אל־העברים";"Hebrews";""
59;"יעקב";"James";""
60;"פטרוס א";"1 Peter";""
61;"פטרוס ב";"2 Peter";""
62;"יוחנן א";"1 John";""
63;"יוחנן ב";"2 John";""
64;"יוחנן ג";"3 John";""
65;"יהודה";"Jude";""
66;"חזיון";"Revelation";""
